uid;fb_id;f_id;kb_id;ha_id;k_id;code;aufbau;zyklus;aufzaehlungspunkt;strukturtyp;sprache;bezeichnung
101haaH5fwtTbY7m3p2pBrgu6gdJVm7Ab;1;21;3;2;;FS1E.3.B;;;;Handlungs-/Themenaspekt;DE;Monologisches Sprechen
101hatkm4VnXBkUqFhwA9HtrTgBa44Pbf;1;21;5;5;;FS1E.5.E;;;;Handlungs-/Themenaspekt;DE;Rechtschreibung
101haHJVPKBvKV7gHNx6tpnLWN3VEJ9WX;1;32;1;1;;FS2F.1.A;;;;Handlungs-/Themenaspekt;DE;Monologische und dialogische Texte hören und verstehen
101haHaPccN2qaUHHhkB7KpT2YfJGvJ6r;1;32;2;2;;FS2F.2.B;;;;Handlungs-/Themenaspekt;DE;Strategien
101hacky3S57KHawJWKuZMuaMzLx7Gd3H;1;32;2;3;;FS2F.2.C;;;;Handlungs-/Themenaspekt;DE;Sprachmittlung
101hasZbAfSSqXfs69BJ9cUXx6dc2JV7H;1;32;5;4;;FS2F.5.D;;;;Handlungs-/Themenaspekt;DE;Grammatik
101ha5UXbu47SuKJTheJFDtwbchakEYM4;1;32;6;1;;FS2F.6.A;;;;Handlungs-/Themenaspekt;DE;Kenntnisse
101ha2LC29ZBsMnN6XqPcuUVDqWRnf5MX;1;41;1;3;;FS3I.1.C;;;;Handlungs-/Themenaspekt;DE;Sprachmittlung
101ha24v8rkW28AMFx83thR7xRWhdKRZz;1;41;4;2;;FS3I.4.B;;;;Handlungs-/Themenaspekt;DE;Strategien
101hamr3XE5tXynrJTwhLzgEAtzPp5wmg;1;45;4;1;;LAT.4.A;;;;Handlungs-/Themenaspekt;DE;Texte vortragen
101havwSXGfm7pJSCdX9d5XZxJu7euxwV;1;45;5;2;;LAT.5.B;;;;Handlungs-/Themenaspekt;DE;Wortschatz
101haEPXku2wWPME88nwmbdMWPaAUwkYq;1;45;6;1;;LAT.6.A;;;;Handlungs-/Themenaspekt;DE;Kenntnisse
101kkzcLJBXg79dW3ct8Su6wC7mypWx64;1;11;1;1;1;D.1.A.1;;;;Kompetenz;DE;Die Schülerinnen und Schüler können Laute, Silben, Stimmen, Geräusche und Töne wahrnehmen, einordnen und vergleichen. Sie können ihren rezeptiven Wortschatz aktivieren, um das Gehörte angemessen schnell zu verstehen.
101kkVykcysTsVKc374RfXFgX8Hb2W5ZW;1;11;2;3;1;D.2.C.1;;;;Kompetenz;DE;Die Schülerinnen und Schüler können literarische Texte lesen und verstehen.
101kkHPCdH4wMFuxHwnGrkurvXXMDhzhe;1;11;4;3;1;D.4.C.1;;;;Kompetenz;DE;Die Schülerinnen und Schüler können ein Repertoire an angemessenen Vorgehensweisen zum Ideenfinden und Planen aufbauen und dieses im Schreibprozess zielführend einsetzen.
101kkw6LCyFskBKbuN2g8C2WXAJUT9NN4;1;11;4;6;1;D.4.F.1;;;;Kompetenz;DE;Die Schülerinnen und Schüler können ihren Text in Bezug auf Rechtschreibung und Grammatik überarbeiten.
101kkr3aW2hvS9upZWufcgSUKuwf88bGA;1;11;5;2;1;D.5.B.1;;;;Kompetenz;DE;Die Schülerinnen und Schüler können den Gebrauch und die Wirkung von Sprache untersuchen.
101kkbnJJxSfX3P6tsJ5UHB77bbggUnd9;1;11;6;1;1;D.6.A.1;;;;Kompetenz;DE;Die Schülerinnen und Schüler können spielerisch und kreativ gestaltend mit literarischen Texten umgehen.
101kkZALa5WcnTDHtmHqMBcKEeC626RxT;1;11;6;3;1;D.6.C.1;;;;Kompetenz;DE;Die Schülerinnen und Schüler erfahren, erkennen und reflektieren, dass literarische Texte in Bezug auf Inhalt, Form und Sprache bewusst gestaltet sind, um eine ästhetische Wirkung zu erzielen. Sie kennen wesentliche Merkmale von Genres und literarischen Gattungen.
101kk7KqSH7ZLCbvtDz2e2EUn2vX9etdN;1;21;1;3;1;FS1E.1.C.1;;;;Kompetenz;DE;Die Schülerinnen und Schüler können Inhalte aus Gesprächen und Hörtexten auf Englisch verstehen und sinngemäss ins Deutsche  übertragen.
101kkLPHGRk4EdKEfysnRsvUrwD9DeFcs;1;21;3;1;1;FS1E.3.A.1;;;;Kompetenz;DE;Die Schülerinnen und Schüler können an verschiedenen Gesprächen teilnehmen (über Sachthemen, über ästhetische Themen, im Schulalltag, mit Englisch sprechenden Personen).
101kkr8sE5RNvpYwVsx454yTprsVJBSma;1;21;3;2;1;FS1E.3.B.1;;;;Kompetenz;DE;Die Schülerinnen und Schüler können zu verschiedenen Themen und in unterschiedlichen Situationen zusammenhängend sprechen (über Sachthemen, über ästhetische Themen, über Themen und Abläufe im Schulalltag, im Kontakt mit Englisch sprechenden Personen).
101kkCPmEp5WMm9xav9t5yh546Jzt6yzW;1;21;3;2;2;FS1E.3.B.2;;;;Kompetenz;DE;Die Schülerinnen und Schüler können beim Vortragen Texte gestalten und eine ästhetische Wirkung erzielen.
101kkq9gEGR3Ps7m6JLqEGsLmSm6nGUdK;1;21;4;3;1;FS1E.4.C.1;;;;Kompetenz;DE;Die Schülerinnen und Schüler können Inhalte deutscher Texte sinngemäss ins Englische übertragen.
101kkwL4sqB3tmVPd5P6MtKcWgBh6p4T5;1;21;5;4;2;FS1E.5.D.2;;;;Kompetenz;DE;Die Schülerinnen und Schüler können grammatische Strukturen verstehen und mit anderen Sprachen vergleichen.
101kk9Wpy5cKAf2fahnEqXtErJVwuM5gp;1;21;5;5;2;FS1E.5.E.2;;;;Kompetenz;DE;Die Schülerinnen und Schüler können Rechtschreibregeln der englischen Sprache reflektieren und verstehen.
101kkz4nv4JwBrVB6HaDugJ2e9vM5d4KG;1;21;6;2;1;FS1E.6.B.1;;;;Kompetenz;DE;Die Schülerinnen und Schüler können über ihre Haltung gegenüber dem englischsprachigen Kulturraum und gegenüber kultureller Vielfalt nachdenken.
101kknDUnhAPXZh7rEhbs4MgpGvnhEC66;1;32;1;2;1;FS2F.1.B.1;;;;Kompetenz;DE;Die Schülerinnen und Schüler können Hörstrategien einsetzen und reflektieren. Dabei nutzen sie auch in anderen Sprachen aufgebaute Strategien.
101kk79DtZL8XNY7RNaPMkGeSw2Shexux;1;32;3;1;1;FS2F.3.A.1;;;;Kompetenz;DE;Die Schülerinnen und Schüler können an verschiedenen Gesprächen teilnehmen (über Sachthemen, über ästhetische Themen, im Schulalltag, mit Französisch sprechenden Personen).
101kkKseTqn79GCKd5dB66E6MqaGLkBcF;1;32;4;1;1;FS2F.4.A.1;;;;Kompetenz;DE;Die Schülerinnen und Schüler können verschiedene Texte verfassen (Sachtexte, ästhetische Texte, Texte im Schulalltag, im schriftlichen Kontakt mit Französisch sprechenden Personen).
101kk58BVXY79WfRR5H4nkrzyDkd3wHa8;1;32;5;2;2;FS2F.5.B.2;;;;Kompetenz;DE;Die Schülerinnen und Schüler können Strategien und Techniken zum Wortschatzerwerb und Regeln der Wortbildung reflektieren und für ihr Lernen nutzen. Sie können dabei auf Lernerfahrungen und Kenntnisse in anderen Sprachen zurückgreifen.
101kkqZqP8UswL7ufAcJMDqdZh9vEPKKM;1;32;5;3;2;FS2F.5.C.2;;;;Kompetenz;DE;Die Schülerinnen und Schüler können typische Aussprache- und Intonationsregeln der französischen Sprache verstehen.
101kkMg2a6gW6dHGXHN9pt99YPEMhZA6b;1;32;5;5;2;FS2F.5.E.2;;;;Kompetenz;DE;Die Schülerinnen und Schüler können Rechtschreibregeln der französischen Sprache reflektieren und verstehen.
101kkJYLCtT3wEsMYHPgKy9b3KCg8YA8c;1;32;5;6;1;FS2F.5.F.1;;;;Kompetenz;DE;Die Schülerinnen und Schüler können ihr eigenes Sprachenlernen reflektieren und planen.
101kkTKMt7v7dYvPr4eSdquVVFJwvW5Sw;1;41;2;2;1;FS3I.2.B.1;;;;Kompetenz;DE;Die Schülerinnen und Schüler können Lesestrategien einsetzen und reflektieren. Dabei nutzen sie auch in anderen Sprachen aufgebaute Strategien.
101kkGPUfXSXEBnPVKLFUJpMzrDgPnJ9s;1;41;3;1;1;FS3I.3.A.1;;;;Kompetenz;DE;Die Schülerinnen und Schüler können an verschiedenen Gesprächen teilnehmen (über Sachthemen, über ästhetische Themen, im Schulalltag, mit Italienisch sprechenden Personen).
101kkesNJTSadTxMFZPyrXGTLhYwpNDWP;1;45;1;1;1;LAT.1.A.1;;;;Kompetenz;DE;Die Schülerinnen und Schüler können lateinische Sachtexte und ästhetische Texte lesen und verstehen.
101kksDeZrLchXRJrXrEmdMZ8b93fN4t3;1;45;2;3;1;LAT.2.C.1;;;;Kompetenz;DE;Die Schülerinnen und Schüler können einen lateinischen Text mittels Analyse seiner sprachlichen und inhaltlichen Merkmale interpretieren.
101kkncB2YvBWAZJXHq6qrhk5m4NVEJ9T;1;45;2;4;1;LAT.2.D.1;;;;Kompetenz;DE;Die Schülerinnen und Schüler können ein gedrucktes oder digitales Wörterbuch nutzen.
101kkhz5snycLz3ZGMhYsPrfzs8e2Mz8u;1;45;3;1;1;LAT.3.A.1;;;;Kompetenz;DE;Die Schülerinnen und Schüler können lateinische Hörtexte unterschiedlicher Textgattungen verstehen.
101kkzytfUvdmB7rHFkaMkgGaw5nt7qtG;1;45;4;1;3;LAT.4.A.3;;;;Kompetenz;DE;Die Schülerinnen und Schüler können über die ästhetische Wirkung vorgetragener Texte nachdenken.
101kkevkMYnkhGP9NLpAudHJtvw8N9CT8;1;45;5;2;1;LAT.5.B.1;;;;Kompetenz;DE;Die Schülerinnen und Schüler können einen lateinischen Wortschatz aufbauen.
101kkkAPfLz8h8sJcF5ANfZWBR9AA7Hct;1;45;6;2;1;LAT.6.B.1;;;;Kompetenz;DE;Die Schülerinnen und Schüler reflektieren ihre Gedanken und Gefühle zu Inhalten lateinischer Texte.
101kk8qrzBHGm8YBmmsrue8SAJ9vHdRqL;1;45;6;4;3;LAT.6.D.3;;;;Kompetenz;DE;Die Schülerinnen und Schüler können spielerisch und kreativ gestaltend mit lateinischen Texten umgehen.
101BkYEKJDbEFansx7VtD66VYcFCnnTuv;1;11;1;2;1;D.1.B.1.c;1;1;;Kompetenzstufe;DE;
101E4Fb7cHxKGW4fPeWRVrNWqqkdeyACD;1;11;1;2;1;D.1.B.1.f;1;2;;Kompetenzstufe;DE;
1017M9Z43HznZmYEeFkfhLBbrCRwvsVkD;1;11;1;3;1;D.1.C.1.a;1;1;;Kompetenzstufe;DE;
101kthNZ8URAq3h6tsn79tS7PPmTVxGvK;1;11;1;3;1;D.1.C.1.b;1;1;;Kompetenzstufe;DE;
1019GTYUSYethdwDTzvsHHusqZpdUTCF6;1;11;1;3;1;D.1.C.1.c;1;12;;Kompetenzstufe;DE;
1019CMEsRHHPHuvhnkEKGHzaZUNzPwrRW;1;11;2;2;1;D.2.B.1.a;1;1;;Kompetenzstufe;DE;
101yFJ3KK9h9bdHKrmC8xXWe7hWmJ6eVN;1;11;2;2;1;D.2.B.1.c;1;1;;Kompetenzstufe;DE;
101UMHbvq9N33evnytR4eU3qHbcATsB77;1;11;2;2;1;D.2.B.1.i;1;3;;Kompetenzstufe;DE;
10168NX2ep9E87gxgSGWtgxAPxyr7YnPs;1;11;2;3;1;D.2.C.1.g;1;23;;Kompetenzstufe;DE;
101aBGxpb6SLRARvdJFH5NLLp6xN3NnCx;1;11;2;3;1;D.2.C.1.h;1;3;;Kompetenzstufe;DE;
101svwN76aS77kW3s8MKfC7nk7r229tPC;1;11;2;4;1;D.2.D.1.a;1;1;;Kompetenzstufe;DE;
101vYPWqwq2WnxW9AX96kdNkvkTeE3xre;1;11;2;4;1;D.2.D.1.d;1;3;;Kompetenzstufe;DE;
101uJcPS4sgz8Zm5RwHJe7Myam92HsfDy;1;11;2;4;1;D.2.D.1.e;1;3;;Kompetenzstufe;DE;
101mmeDVwyD5r7CtWTzt6fhRkznG42Xc3;1;11;3;1;1;D.3.A.1.a;1;1;;Kompetenzstufe;DE;
101Bkq3275g6xh5Z9r8pbnzYvEdUzkvp8;1;11;3;1;1;D.3.A.1.d;1;2;;Kompetenzstufe;DE;
101Fnqg2t958Py9zWc588R4xV4vJRX6wn;1;11;3;2;1;D.3.B.1.d;1;12;;Kompetenzstufe;DE;
101pD4KghZfFchU49ZaUhwJDALbDA9DxF;1;11;3;2;1;D.3.B.1.e;1;2;;Kompetenzstufe;DE;
101KTPkFCRHJxn9XuUp9mzPtRrw55MA9V;1;11;3;2;1;D.3.B.1.g;1;23;;Kompetenzstufe;DE;
101Aa5vBPKCfY99YyMEDpDFkHTbmmkLed;1;11;3;2;1;D.3.B.1.i;1;3;;Kompetenzstufe;DE;
101pqNgyrNhkPUH4a4hCFeX7wLZdphzmP;1;11;3;3;1;D.3.C.1.b;1;1;;Kompetenzstufe;DE;
101wJwJUbEpybzKyz9WxTcmMJSG5rrueZ;1;11;3;3;1;D.3.C.1.j;1;3;;Kompetenzstufe;DE;
1015J2uJfDvUBBs3s97sfvNt6KgGcw5hW;1;11;3;4;1;D.3.D.1.a;1;1;;Kompetenzstufe;DE;
101P2v5hN6nu598fLSTcLREHvetJ3AHgq;1;11;4;1;1;D.4.A.1.c;1;1;;Kompetenzstufe;DE;
101XgPKugNAzgcB2nnXnXsGbpvZkBvJmr;1;11;4;1;1;D.4.A.1.d;1;1;;Kompetenzstufe;DE;
10186tRJNmXg2PaYXqCMqmme7qmxw4HxD;1;11;4;1;1;D.4.A.1.e;1;12;;Kompetenzstufe;DE;
101cWkT2eFdJcYh7MLtTMVTxFHDqvPcv9;1;11;4;1;1;D.4.A.1.h;1;23;;Kompetenzstufe;DE;
101knT4rW2yzNeXZU8HpgwqJaMDEPNqgp;1;11;4;1;1;D.4.A.1.i;1;3;;Kompetenzstufe;DE;
101dXKeyC6vT2m32GMTeztGEaAedzWa2t;1;11;4;2;1;D.4.B.1.a;1;1;;Kompetenzstufe;DE;
101Y7b8Ypz8UwcffZKPLFd9XvTZZS4kqE;1;11;4;2;1;D.4.B.1.d;1;2;;Kompetenzstufe;DE;
101zyUV6XfakqgAdUugUurYBAAUup6SLS;1;11;4;2;1;D.4.B.1.e;1;2;;Kompetenzstufe;DE;
101NWHw8DZbLk2JhLURhBrnUtKpqm3f7z;1;11;4;2;1;D.4.B.1.f;1;23;;Kompetenzstufe;DE;
101W5XMShSUEPWCJxeV6DyqtKk72ah5sH;1;11;4;3;1;D.4.C.1.b;1;1;;Kompetenzstufe;DE;
10138fXp7nTJkHdV6HyyPEP4EJVERWyep;1;11;4;3;1;D.4.C.1.c;1;12;;Kompetenzstufe;DE;
10127tC7Ct4CnbVRLZAS6v59dvTKWAu49;1;11;4;3;1;D.4.C.1.f;1;23;;Kompetenzstufe;DE;
101DybL2gJr5pPeHE7G7Gy53fLsvxZcgd;1;11;4;4;1;D.4.D.1.d;1;2;;Kompetenzstufe;DE;
101aNJhGeaREccKkf5p4UR9CF8uSEXPYA;1;11;4;5;1;D.4.E.1.f;1;3;;Kompetenzstufe;DE;
101SVEmHAgVL3fHYnaWxn9xDskMZg3Yaw;1;11;4;6;1;D.4.F.1.a;1;1;;Kompetenzstufe;DE;
1012zpEWYME6RFBBMV4mYFR7cCTZbJW7A;1;11;4;6;1;D.4.F.1.c;1;2;;Kompetenzstufe;DE;
101XLa9JaDAXhUCk2Na6bcz7JWUeM6PDv;1;11;5;2;1;D.5.B.1.b;1;1;;Kompetenzstufe;DE;
101Hu7JHFCgttHxsenuPLfX7Vwq3pta6J;1;11;5;3;1;D.5.C.1.a;1;1;;Kompetenzstufe;DE;
101Z6PKKPtxsfpFpC7a4TMVVvKSK9GSWR;1;11;5;5;1;D.5.E.1.c;1;2;;Kompetenzstufe;DE;
101HstW6CdE3r8896MdeEa9aTwquNDwUU;1;11;6;1;1;D.6.A.1.b;1;1;;Kompetenzstufe;DE;
101L35CeNs6cge6UDSeb3tf8qunUepwrR;1;11;6;1;2;D.6.A.2.b;1;1;;Kompetenzstufe;DE;
101uyLhcFMRUX7cYkrYJ94qShFK4XTUfS;1;11;6;1;2;D.6.A.2.d;1;12;;Kompetenzstufe;DE;
101aU2GnhEMVMNG2tpZCftHfKhx7Nfw83;1;11;6;1;2;D.6.A.2.i;1;3;;Kompetenzstufe;DE;
1013qV8fUT99tvtxa5dWRfKNbc8DfRpTJ;1;11;6;3;1;D.6.C.1.g;1;23;;Kompetenzstufe;DE;
101ca7TEWzkpNT4uyxWKku4fRGXcJCRuU;1;11;6;3;1;D.6.C.1.i;1;3;;Kompetenzstufe;DE;
101LzF2sumfn9zqsJLAWXB7zJGXtSrBE2;1;21;1;3;1;FS1E.1.C.1.b;1;3;;Kompetenzstufe;DE;
1011349904413AEzSyCzVzeTH9SHwh7qf;1;21;2;1;1;FS1E.2.A.1.c;1;2;;Kompetenzstufe;DE;
101mn7v3H6L4rr4a4PHrZfkK49T2pBNMd;1;21;2;1;2;FS1E.2.A.2.c;1;3;;Kompetenzstufe;DE;
1011349904406HpygKrkrBwqttDcVsJaB;1;21;3;2;1;FS1E.3.B.1.d;1;3;;Kompetenzstufe;DE;
101WgaMKm7HCnJAcmRNdKnTKPe4pW8UAG;1;21;3;2;2;FS1E.3.B.2.b;1;23;;Kompetenzstufe;DE;
1011349904407u2TFDWDMxyWzk3knL9Xq;1;21;3;3;1;FS1E.3.C.1.a;1;2;;Kompetenzstufe;DE;
1011349904408z2URcaqyGSZUvgNNrXfL;1;21;3;4;1;FS1E.3.D.1.c;1;3;;Kompetenzstufe;DE;
10113499044087MAYqe5RUBWmhVT6FVDt;1;21;4;1;1;FS1E.4.A.1.c;1;3;;Kompetenzstufe;DE;
1011349904417ASv6b4BmuarFyqcUn8PL;1;21;4;1;1;FS1E.4.A.1.e;1;3;;Kompetenzstufe;DE;
1011349904411pvk5PW95AKw5ypAsaXT6;1;21;4;2;1;FS1E.4.B.1.b;1;2;;Kompetenzstufe;DE;
1011349904405cpXnda3kXppJMuMR397X;1;21;4;2;1;FS1E.4.B.1.c;1;3;;Kompetenzstufe;DE;
1011349904417ydnq7GRPyb2RPeMDeV5E;1;21;4;3;1;FS1E.4.C.1.b;1;3;;Kompetenzstufe;DE;
10126SUMgt9aEBBbf82f9UZpnuphxTm5H;1;21;4;3;1;FS1E.4.C.1.d;1;3;;Kompetenzstufe;DE;
1011349904420YvbvXZRdrTNHuhLxLgbK;1;21;5;1;2;FS1E.5.A.2.a;1;2;;Kompetenzstufe;DE;
101atsUkhgcqWAuxuEy3dcHrFNXTgy5St;1;21;5;3;1;FS1E.5.C.1.c;1;3;;Kompetenzstufe;DE;
101A36a3fbC2AERpLs9pa2x66kAVqhT45;1;21;5;3;1;FS1E.5.C.1.d;1;3;;Kompetenzstufe;DE;
101Ed9EvwmFWmZRp4HE4DNbFMuSszv2EL;1;21;5;4;1;FS1E.5.D.1.a;1;2;;Kompetenzstufe;DE;
101ma7Un6nv9eTmE2tZcbDwPFqnVfddBW;1;21;5;4;1;FS1E.5.D.1.b;1;2;;Kompetenzstufe;DE;
10113499044042nTuLuWX4sE96h5BZwKS;1;21;5;4;1;FS1E.5.D.1.d;1;3;;Kompetenzstufe;DE;
1011349904411aZVf22gU3PNpCfCEePHn;1;21;5;4;2;FS1E.5.D.2.c;1;3;;Kompetenzstufe;DE;
1011349904404B2Kht9hhyJMK36Fe5tMG;1;21;5;5;2;FS1E.5.E.2.b;1;2;;Kompetenzstufe;DE;
1011349904402Wzp34EUY7efVKLu4ewyv;1;21;5;6;1;FS1E.5.F.1.a;1;2;;Kompetenzstufe;DE;
1011349904410BLNUrDHbMZfvBsmChUMH;1;21;6;1;1;FS1E.6.A.1.c;1;23;;Kompetenzstufe;DE;
1011349905291EadDX9ULgmq5GKXLpUuC;1;32;1;1;1;FS2F.1.A.1.f;1;3;;Kompetenzstufe;DE;
101zJ46paM3e8pJ7MVG5Fnge4dptumXnW;1;32;2;1;2;FS2F.2.A.2.c;1;3;;Kompetenzstufe;DE;
101d5D3kXY6Ph4KZEHexFYDtPKv85rJuz;1;32;2;1;2;FS2F.2.A.2.d;1;3;;Kompetenzstufe;DE;
101ywZKXLBs7vEEJnSRvypP5vyxtJfGXw;1;32;2;3;1;FS2F.2.C.1.d;1;3;;Kompetenzstufe;DE;
1011349905292VP7PFK7v32FVPvm6Wsrv;1;32;3;1;1;FS2F.3.A.1.c;1;23;;Kompetenzstufe;DE;
1011349905290BMaR97TVMKUdPrFfdDSm;1;32;3;1;1;FS2F.3.A.1.f;1;3;;Kompetenzstufe;DE;
1019f5JS35gJxMTKyPzED5hD8GnWbHtMe;1;32;3;2;2;FS2F.3.B.2.a;1;2;;Kompetenzstufe;DE;
1011349905289Z9wNzeHMcmHhuXPH5YLG;1;32;3;3;1;FS2F.3.C.1.b;1;2;;Kompetenzstufe;DE;
1011349905289hXzKwXFPztmY2mnHPEq2;1;32;4;1;1;FS2F.4.A.1.b;1;2;;Kompetenzstufe;DE;
1011349905291bwGmEgDWwn3b4Ru94xJf;1;32;4;1;1;FS2F.4.A.1.d;1;3;;Kompetenzstufe;DE;
1011349905298VXC8NFA5AsYgJ6CspZRd;1;32;4;2;1;FS2F.4.B.1.b;1;2;;Kompetenzstufe;DE;
1011349905304T2vvpkMXmCFzWtCcsv78;1;32;4;3;1;FS2F.4.C.1.b;1;3;;Kompetenzstufe;DE;
101rTNJL7VT4zxf8xGhVpq6LyTh9XNxay;1;32;4;3;1;FS2F.4.C.1.d;1;3;;Kompetenzstufe;DE;
1011349905292mEZFD8SewfT82uFLRMJt;1;32;5;1;2;FS2F.5.A.2.c;1;3;;Kompetenzstufe;DE;
101b3vyAZTbx86JSZwfvAweTvG5Wxsrtr;1;32;5;2;2;FS2F.5.B.2.a;1;2;;Kompetenzstufe;DE;
1013wWwF7w3pUnDpWad4EW6KP2Cq2gm9v;1;32;5;3;2;FS2F.5.C.2.c;1;2;;Kompetenzstufe;DE;
1011349905291XCckUJrDwNmeCs2bFt9M;1;32;5;4;1;FS2F.5.D.1.b;1;23;;Kompetenzstufe;DE;
1011349905295TD9CYMK69NchpxRD3GCx;1;32;5;6;1;FS2F.5.F.1.b;1;2;;Kompetenzstufe;DE;
1011349905291mPcYEnKcBkTnKtdZ4Mbq;1;32;6;2;1;FS2F.6.B.1.a;1;2;;Kompetenzstufe;DE;
1011349905306emcvvPBbgXT6RLv4LRwE;1;32;6;3;1;FS2F.6.C.1.c;1;23;;Kompetenzstufe;DE;
1011349905305geutkedUk8XsVC7z7xFM;1;32;6;3;1;FS2F.6.C.1.d;1;3;;Kompetenzstufe;DE;
10113499053019MEgL4V8qwbs2tNqgw92;1;32;6;3;1;FS2F.6.C.1.e;1;3;;Kompetenzstufe;DE;
101SHSGscrGvnmk3eTA8byxBJLmNyXFb7;1;41;1;1;1;FS3I.1.A.1.b;1;3;;Kompetenzstufe;DE;
1014pJwA3CfkkzM7Twgr4rkMxJtkCqJVC;1;41;1;1;1;FS3I.1.A.1.c;1;3;;Kompetenzstufe;DE;
101RDnLWtdFMNNdSYMmL6UMF82xJDRbdM;1;41;1;3;1;FS3I.1.C.1.a;1;3;;Kompetenzstufe;DE;
101vfwUrJs4D5JYKDnZAbugHrHXLb45Pp;1;41;2;1;1;FS3I.2.A.1.a;1;3;;Kompetenzstufe;DE;
101MFPxHs5vXBBV7JkgN5HpVStbuXYW55;1;41;2;1;2;FS3I.2.A.2.c;1;3;;Kompetenzstufe;DE;
101yPByWpBaqqEzHv9cNGspfvbUFCZ4Nh;1;41;2;2;1;FS3I.2.B.1.b;1;3;;Kompetenzstufe;DE;
101gMG34Vrs779T7SKRfnzedY7rZvAdGk;1;41;3;1;1;FS3I.3.A.1.a;1;3;;Kompetenzstufe;DE;
101JW6tZnKUc984pBPnNdmWTd9bNBSNYv;1;41;3;1;1;FS3I.3.A.1.b;1;3;;Kompetenzstufe;DE;
101D8CJuCeDHnwNfdy4WXCkHYKVKaKHrR;1;41;3;4;1;FS3I.3.D.1.d;1;3;;Kompetenzstufe;DE;
101uTbFX5UZbgHtrnwws858Y3dGWH9HeU;1;41;4;1;1;FS3I.4.A.1.b;1;3;;Kompetenzstufe;DE;
1013CVTR9XbkhTs2WhVZZV2nwe8Vkqfx7;1;41;4;3;1;FS3I.4.C.1.c;1;3;;Kompetenzstufe;DE;
101LcAZ7rFESWnPGk6BT3tmrvhvgRKeRs;1;41;5;1;1;FS3I.5.A.1.a;1;3;;Kompetenzstufe;DE;
101XFNGv84hE5T4qF9zC6ndLDtTmeHeav;1;41;5;1;1;FS3I.5.A.1.b;1;3;;Kompetenzstufe;DE;
101r49eU26P3Psd293MkrdYDdTtkEAVAM;1;41;5;2;1;FS3I.5.B.1.c;1;3;;Kompetenzstufe;DE;
1013vJUhSncsxaz4TCawKGXDtSxbNGv7e;1;41;5;2;2;FS3I.5.B.2.b;1;3;;Kompetenzstufe;DE;
1013hzHBDXumwXkVJ67uB4BBCMKWZ3pLA;1;41;5;3;2;FS3I.5.C.2.a;1;3;;Kompetenzstufe;DE;
101nYu4cxxJVMZqxJpY3FB3hUegRBcnA4;1;41;5;4;1;FS3I.5.D.1.a;1;3;;Kompetenzstufe;DE;
1014NvtCPUuZKLxS4MKFHteAn7UDamARn;1;41;5;4;1;FS3I.5.D.1.b;1;3;;Kompetenzstufe;DE;
101WxSWuTWZJdxGX79EKmUAEVSEafrsY9;1;41;5;5;1;FS3I.5.E.1.b;1;3;;Kompetenzstufe;DE;
101fuEJ6TaSCBrGPHBHWV3s5PrT8J677b;1;41;5;5;2;FS3I.5.E.2.a;1;3;;Kompetenzstufe;DE;
101HeMYgBMn23GNHpwryUX5fkwszmR4X5;1;41;6;2;1;FS3I.6.B.1.a;1;3;;Kompetenzstufe;DE;
101zrGeZ2kPXzNEJBubvNRhRheaHLpgaS;1;41;6;3;1;FS3I.6.C.1.b;1;3;;Kompetenzstufe;DE;
